章节或编码,中文名称
1B11.Y,神经系统其他特指部位的结核病
1B11.Z,神经系统结核病，未特指的
1B12.0,心脏结核病
1B12.1,眼结核病
1B12.20,内耳结核病
1B12.21,中耳结核病
1B12.2Y,其他特指的耳结核病
1B12.2Z,耳结核病，未特指的
1B12.3,内分泌腺结核病
1B12.40,骨结核病或关节结核病
1B12.41,结核性肌炎
1B12.4Y,肌肉骨骼系统其他特指部位的结核病
1B12.4Z,肌肉骨骼系统结核病，未特指的
1B12.5,泌尿生殖系统结核病
1B12.6,周围淋巴结结核病
1B12.7,消化系统结核病
1B12.8,皮肤结核病
1B12.Y,其他特指器官或部位的结核病
1B13.0,单个特指部位的急性粟粒性结核病
1B13.1,多部位的急性粟粒性结核病
1B14,潜伏性结核
1B1Y,其他特指的结核病
1B1Z,结核病，未特指的
1B20.0,少菌型麻风病
1B20.1,多菌型麻风病
1B20.20,I型麻风反应
1B20.21,II型麻风反应
1B20.3,麻风病并发症
1B20.Z,麻风病，未特指的
1B21.0,肺非结核分枝杆菌感染
1B21.1,非结核分枝杆菌性淋巴结炎
1B21.20,溃疡分枝杆菌感染
1B21.2Y,其他特指的非结核分枝杆菌引起的皮肤感染
1B21.2Z,未特指的非结核分枝杆菌引起的皮肤感染
1B21.3,播散性非结核分枝杆菌感染
1B21.4,胃肠道非结核分枝杆菌感染
1B21.Y,其他特指部位的非结核分枝杆菌感染
1B21.Z,未特指部位的非结核分枝杆菌感染
1B2Y,其他特指的分枝杆菌病
1B2Z,分枝杆菌病，未特指的
1B40.0,急性或亚急性风湿性关节炎
1B40.Y,其他特指的急性风湿热，未提及累及心脏
1B40.Z,急性风湿热，未提及累及心脏，未特指的
1B41.0,急性风湿性心包炎
1B41.10,风湿性主动脉炎
1B41.1Y,其他特指的急性风湿性心内膜炎
1B41.1Z,急性风湿性心内膜炎，未特指的
1B41.2,急性风湿性心肌炎
1B41.Y,其他急性风湿性心脏病
1B41.Z,急性风湿性心脏病，未特指的
1B42,风湿性舞蹈症
1B50,猩红热
1B51,链球菌性咽炎
1B52.0,链球菌中毒性休克综合征
1B52.1,葡萄球菌中毒性休克综合征
1B53,链球菌性脑膜炎
1B54,葡萄球菌性脑膜炎
1B5Y,其他特指的葡萄球菌或链球菌性疾病
1B5Z,葡萄球菌或链球菌性疾病，未特指的
1B70.00,面部丹毒
1B70.01,外耳丹毒
1B70.02,下肢丹毒
1B70.0Y,其他特指部位的丹毒
1B70.1,链球菌性蜂窝织炎
1B70.2,葡萄球菌的蜂窝织炎
1B70.3,上行性细菌性淋巴管炎
1B70.Y,其他特指细菌引起的细菌性蜂窝织炎或淋巴管炎
1B70.Z,未特指细菌引起的细菌性蜂窝织炎或淋巴管炎
1B71.0,链球菌性坏死性筋膜炎
1B71.1,多种微生物所致坏死性筋膜炎
1B71.2,新生儿坏死性筋膜炎
1B71.Y,其他特指的细菌感染引起的坏死性筋膜炎
1B71.Z,坏死性筋膜炎，未特指的
1B72.0,大疱性脓疱病
1B72.1,非-大疱性脓疱病
1B72.2,继发性皮肤脓疱病
1B72.Y,其他特指的脓疱病
1B72.Z,脓疱病，未特指的
1B73.0,链球菌深脓疱病
1B73.1,葡萄球菌深脓疱病
1B73.2,坏死性深脓疱病
1B73.Y,其他特指的深脓疱病
1B73.Z,深脓疱病，未特指的
1B74.0,金黄色葡萄球菌性浅表性毛囊炎
1B74.Y,其他特指的微生物引起的浅表性细菌性毛囊炎
1B74.Z,未特指的微生物引起的浅表性细菌性毛囊炎
1B75.0,疖（病）
1B75.1,痈
1B75.2,疖（病）
1B75.3,皮肤脓肿
1B75.4,慢性深部细菌性毛囊炎
1B7Y,其他特指的皮肤和皮下组织化脓性细菌感染
1B90.0,螺菌病
1B90.1,链杆菌病
1B91,钩端螺旋体病
1B92,鼻疽
1B93.0,黑死病
1B93.1,皮下蜂窝织炎型鼠疫
1B93.2,肺鼠疫
1B93.3,脑膜炎型鼠疫
1B93.Y,其他特指的鼠疫
1B93.Z,鼠疫，未特指的
1B94.0,溃疡淋巴腺型兔热病[土拉菌病]
1B94.Y,其他特指的兔热病[土拉菌病]
1B94.Z,兔热病[土拉菌病]，未特指的
1B95,布鲁氏菌病
1B96,类丹毒
1B97,炭疽
1B98,猫抓病
1B99,巴斯德菌病
1B9A,肠外耶尔森菌病
1B9Z,未特指的人畜共患细菌性疾病
1C10.0,肺放线菌病
1C10.1,腹部放线菌病
1C10.2,面颈部放线菌病
1C10.3,原发性皮肤放线菌病
1C10.Y,其他特指形式的放线菌病
1C10.Z,放线菌病，未特指的
1C11.00,奥罗亚热
1C11.01,秘鲁疣
1C11.1,战壕热
1C11.Y,其他形式的巴尔通体病
1C12.0,百日咳
1C12.1,百日咳，副百日咳博德杆菌引起
1C12.Y,其他特指的百日咳
1C12.Z,百日咳，未特指的
1C13,破伤风
1C14,产科破伤风
1C15,新生儿破伤风
1C16,气性坏疽
1C17.00,白喉后悬垂麻痹
1C17.0Y,其他特指的咽白喉或扁桃体白喉
1C17.0Z,咽白喉或扁桃体白喉，未特指的
1C17.1,鼻白喉
1C17.2,喉白喉
1C17.3,皮肤白喉
1C17.Y,其他特指的白喉
1C17.Z,白喉，未特指的
1C18,巴西紫癜热
1C19.0,非肺炎型军团菌病
1C1A.0,皮肤李斯特菌病
1C1A.1,李斯特菌脑膜炎或脑膜脑炎
1C1A.Y,其他特指的李斯特菌病
1C1A.Z,李斯特菌病，未特指的
1C1B.0,肺诺卡菌病
1C1B.1,皮肤诺卡菌病
1C1B.Y,其他特指形式的诺卡菌病
1C1B.Z,诺卡菌病，未特指的
1C1C.0,脑膜炎球菌脑膜炎
1C1C.1,沃-弗综合征
1C1C.20,急性脑膜炎球菌血症
1C1C.2Y,其他特指的脑膜炎球菌性菌血症
1C1C.2Z,脑膜炎球菌性菌血症，未特指的
1C1C.Y,其他特指的脑膜炎球菌感染
1C1C.Z,脑膜炎球菌感染，未特指的
1C1D.0,一期雅司
1C1D.1,二期雅司
1C1D.2,三期雅司
1C1D.3,潜伏性雅司病
1C1E.0,品他病初期损害
1C1E.1,品他病中期损害
1C1E.2,品他病晚期损害
1C1E.3,品他病混合性损害
1C1F,地方性非性病性梅毒
1C1G.0,早期皮肤莱姆病
1C1G.10,神经莱姆病
1C1G.11,晚期心脏炎
1C1G.12,眼莱姆病
1C1G.13,莱姆关节炎
1C1G.14,晚期皮肤型莱姆病
1C1G.1Y,其他特指的播散性莱姆病
1C1G.1Z,播散性莱姆病，未特指的
1C1G.2,先天性莱姆病
1C1G.Y,其他特指的莱姆病
1C1H,坏死性溃疡性龈炎
1C1J.0,蜱传回归热
1C1J.1,虱传回归热
1C20,衣原体性结膜炎
1C21,衣原体性腹膜炎
1C22,鹦鹉热衣原体感染
1C23.0,初期沙眼
1C23.1,活动期沙眼
1C23.Y,其他特指的沙眼
1C23.Z,沙眼，未特指的
1C2Y,其他特指的衣原体病
1C2Z,其他衣原体病，未特指的
1C30.0,虱传流行性斑疹伤寒，由普氏立克次体引起
1C30.1,再燃性斑疹伤寒
1C30.2,莫氏立克次体引起的地方性斑疹伤寒
1C30.3,恙虫热立克次体所致斑疹伤寒
1C30.Y,其他特指的斑疹伤寒
1C30.Z,斑疹伤寒，未特指的
1C31.0,立氏立克次体引起的斑点热
1C31.1,康诺尔立克次体引起的斑点热
1C31.2,西伯利亚立克次体引起的斑点热
1C31.3,澳洲立克次体引起的斑点热
1C31.Y,其他特指的斑点热
1C31.Z,斑点热，未特指的
1C32,立克次体痘
1C33,Q热
1C3Y,其他特指的立克次体病
1C3Z,立克次体病，未特指的
1C40,弯曲菌病
1C41,未特指部位的细菌性感染
1C42,类鼻疽
1C43,放线菌瘤
1C44,皮肤非脓性细菌性感染
1C4Y,其他特指的细菌性疾病
1C4Z,未特指的细菌性疾病
1C60.0,艾滋病（临床1期）合并结核病
1C60.1,艾滋病（临床2期）合并结核病
1C60.2,艾滋病（临床3期）合并结核病
1C60.30,艾滋病后卡波西肉瘤合并结核病
1C60.3Y,其他特指的艾滋病（临床4期）合并结核病
1C60.3Z,艾滋病（临床4期）合并结核病，未特指的
1C60.Z,艾滋病合并结核病，临床分期未特指
1C61.0,艾滋病（临床1期）合并疟疾
1C61.1,艾滋病（临床2期）合并疟疾
1C61.2,艾滋病（临床3期）合并疟疾
1C61.30,艾滋病后卡波西肉瘤合并疟疾
1C61.3Y,其他特指的艾滋病（临床4期）合并疟疾
1C61.3Z,艾滋病（临床4期）合并疟疾，未特指的
1C61.Z,艾滋病合并疟疾，临床分期未特指
1C62.0,艾滋病（临床1期）未提及是否合并结核病或疟疾
1C62.1,艾滋病（临床2期）未提及是否合并结核病或疟疾
1C62.2,艾滋病（临床3期）未提及是否合并结核病或疟疾
1C62.3,艾滋病（临床4期）未提及是否合并结核病或疟疾
1C62.Z,艾滋病（未提及合并症）临床分期未特指
1C80,病毒性脑炎，不可归类在他处者
1C81,急性脊髓灰质炎
1C82,狂犬病
1C83,西方马脑炎
1C84,东方马型脑炎
1C85,日本脑炎
1C86,圣路易斯型脑炎
1C87,罗西欧病毒病
1C88,澳洲墨累溪谷脑炎
1C89,远东蜱传脑炎
1C8A,中欧蜱传脑炎
1C8B,加利福尼亚脑炎
1C8C,委内瑞拉马脑炎
1C8D,拉克罗斯脑炎
1C8E.0,脑脊膜炎，由于疱疹病毒
1C8E.1,肠道病毒脑膜炎
1C8E.2,腺病毒性脑膜炎
1C8E.Y,其他特指的病毒性脑膜炎，不可归类在他处者
1C8E.Z,病毒性脑膜炎，不可归类在他处者，未特指的
1C8F,淋巴细胞脉络丛脑膜炎
1C8Y,其他特指的中枢神经系统的病毒性感染
1C8Z,中枢神经系统的病毒性感染，未特指的
1D00.0,细菌性脑炎
1D00.1,真菌性脑炎
1D00.2,寄生虫或原虫性脑炎
1D00.Y,其他特指的感染性脑炎，不可归类在他处者
1D00.Z,感染性脑炎，不可归类在他处者，未特指的
1D01.00,流感嗜血杆菌性脑膜炎
1D01.0Y,其他特指的细菌性脑膜炎
1D01.0Z,细菌性脑膜炎，未特指的
1D01.10,新型隐球菌性脑膜炎
1D01.1Y,其他特指的真菌性脑膜炎
1D01.1Z,真菌性脑膜炎，未特指的
1D01.2,寄生虫或原虫性脑膜炎
1D01.3,良性复发性脑膜炎
1D01.Y,其他特指的感染性脑膜炎，不可归类在他处者
1D01.Z,未特指的感染性脑膜炎，不可归类在他处者
1D02.0,细菌性脊髓炎
1D02.1,病毒性脊髓炎
1D02.2,真菌性脊髓炎
1D02.3,寄生虫性脊髓炎
1D02.Y,其他特指的感染性脊髓炎，不可归类在他处者
1D02.Z,未特指的感染性脊髓炎，不可归类在他处者
1D03.0,椎管内髓内脓肿
1D03.1,椎管内硬膜下脓肿
1D03.2,椎管内硬膜外脓肿
1D03.30,大脑半球深部脓肿
1D03.31,胼胝体脓肿
1D03.32,垂体脓肿
1D03.33,多发或播散性颅内脓肿
1D03.3Y,其他特指的颅内脓肿
1D03.3Z,颅内脓肿，未特指的
1D03.4,椎管内硬脊膜外脓肿
1D03.5,脊髓脓肿
1D03.Y,其他特指的中枢神经系统感染性脓肿
1D03.Z,中枢神经系统感染性脓肿，未特指的
1D04.0,颅内寄生虫性肉芽肿
1D04.10,颅内真菌性肉芽肿
1D04.1Y,其他特指的颅内肉芽肿
1D04.1Z,颅内肉芽肿，未特指的
1D04.2,椎管内髓内肉芽肿
1D04.3,椎管内硬膜下脓肿
1D04.4,椎管内硬膜外脓肿
1D04.5,椎管内硬膜外脓肿
1D04.Y,其他特指的中枢神经系统感染性肉芽肿
1D04.Z,中枢神经系统感染性肉芽肿，未特指的
1D05.0,硬膜外感染性囊肿
1D05.1,硬膜下感染性囊肿
1D05.Y,其他特指的中枢神经系统感染性囊肿
1D05.Z,中枢神经系统感染性囊肿，未特指的
1D0Y,中枢神经系统其他特指的非病毒性感染和未特指的感染
1D0Z,非病毒性中枢神经系统感染，未特指的
1D20,登革热不伴前驱征兆
1D21,登革热伴前驱征兆
1D22,重症登革热
1D2Z,登革热，未特指的
1D40,基孔肯尼亚病毒性疾病
1D41,科罗拉多蜱热
1D42,O'nyong-nyong热
1D43,Oropouche 病毒性疾病
1D44,裂谷热
1D45,白蛉热
1D46,西尼罗河病毒感染
1D47,黄热病
1D48,寨卡病毒病
1D49,克里米亚-刚果出血热
1D4A,鄂木斯克出血热
1D4B,夸赛纳森林病
1D4C,Alkhurma出血热
1D4D,罗斯河病
1D4E,重症发热伴血小板减少综合征
1D4Y,其他特指的节肢动物媒介的病毒性发热
1D4Z,节肢动物媒介的病毒性发热，病毒未特指
1D60.00,斑迪布乔病毒病
1D60.01,埃博拉病毒病
1D60.02,苏丹病毒病
1D60.03,非典型埃博拉病毒病
1D60.0Y,其他特指的埃博拉病毒病
1D60.0Z,埃博拉病毒病，病毒未特指
1D60.10,马尔堡病毒病
1D60.11,非典型马尔堡出血热
1D60.1Y,其他特指的马尔堡病
1D60.1Z,马尔堡病，病毒未特指
1D60.Y,其他特指的丝状病毒病
1D60.Z,丝状病毒病，病毒未特指
1D61.0,阿根廷出血热
1D61.1,玻利维亚出血热
1D61.2,拉沙热
1D61.3,委内瑞拉出血热
1D61.Y,其他特指的沙粒病毒病
1D61.Z,沙粒病毒病，未特指的
1D62.0,肾综合征出血热
1D62.1,汉坦病毒肺综合征
1D62.2,非典型汉坦病毒病
1D62.Y,其他特指的汉坦病毒病
1D62.Z,汉坦病毒病，未特指的
1D63,亨尼波病毒性脑炎
1D64,中东呼吸综合征
1D65,SARS[严重急性呼吸综合征]
1D6Y,其他特指的人畜共患性病毒病
1D6Z,人畜共患性病毒病，病毒未特指
1D80.0,腮腺炎不伴并发症
1D80.1,腮腺炎病毒所致睾丸炎
1D80.2,腮腺炎脑膜炎
1D80.3,腮腺炎病毒性脑炎
1D80.4,腮腺炎病毒性胰腺炎
1D80.Y,其他特指的腮腺炎
1D81.0,EB病毒性传染性单核细胞增多症
1D81.1,巨细胞病毒性传染性单核细胞增多症
1D81.Y,其他特指的传染性单核细胞增多症
1D81.Z,传染性单核细胞增多症，未特指的
1D82.0,巨细胞病毒性肝炎
1D82.1,巨细胞病毒性胰腺炎
1D82.Y,其他特指的巨细胞病毒病
1D82.Z,巨细胞病毒病，未特指的
1D83,流行性肌痛
1D84.0,腺病毒结膜炎
1D84.1,成人流行性出血性结膜炎
1D84.Y,其他特指的病毒性结膜炎
1D84.Z,病毒性结膜炎，未特指的
1D85.0,继发于病毒性心肌炎的扩展性心肌病
1D85.1,急性病毒性心肌炎
1D85.2,慢性病毒性心肌炎
1D85.3,新生儿无菌性心肌炎
1D85.4,柯萨奇病毒性心肌炎
1D85.Y,其他特指的病毒性心脏炎，病毒性心肌炎
1D85.Z,病毒性心脏炎，病毒性心肌炎，未特指的
1D86,病毒性出血热，不可归类在他处者
1D90,腺病毒感染未特指部位
1D91,未特指部位的肠道病毒感染
1D92,冠状病毒感染，未特指部位
1D93,未特指部位的细小病毒感染
1D9Y,未特指部位的其他病毒感染
1D9Z,未特指部位的未特指病毒感染
1E1Y,其他特指的病毒性疾病
1E1Z,未特指的病毒性疾病
1E30,季节性流感病毒所致流行性感冒
1E31,人畜共患或大流行病毒株引起的流感
1E32,季节性流行性感冒，病毒尚未鉴定
1E50.0,急性甲型肝炎
1E50.1,急性乙型肝炎
1E50.2,急性丙型肝炎
1E50.3,急性丁型肝炎
1E50.4,急性戊型肝炎
1E50.Y,其他特指的急性病毒性肝炎
1E50.Z,急性病毒性肝炎，未特指的
1E51.00,慢性乙型肝炎和人类免疫缺陷病毒共感染
1E51.0Y,其他特指的慢性乙型肝炎
1E51.0Z,慢性乙型肝炎，未特指的
1E51.1,慢性丙型肝炎
1E51.2,慢性丁型肝炎
1E51.3,慢性戊型肝炎
1E51.Y,其他特指的慢性病毒性肝炎
1E51.Z,慢性病毒性肝炎，未特指的
1E5Z,病毒性肝炎，未特指的
1E70,天花
1E71,猴痘
1E72,牛痘
1E73,牛痘
1E74,水牛痘
1E75,羊痘
1E76,传染性软疣
1E7Y,其他特指的由于痘病毒感染
1E7Z,痘病毒感染，未特指的
1E80.0,手指或甲周疣
1E80.1,足底疣
1E80.Y,其他特指的寻常疣
1E81,扁平疣
1E82.0,口腔黏膜局灶性上皮增生
1E83,免疫缺陷状态下疣病毒增殖
1E8Z,病毒性疣，不可归类在他处者
1E90.0,水痘不伴并发症
1E90.1,水痘脑膜炎
1E90.2,水痘脑炎
1E90.Y,水痘合并其他特指的并发症
1E90.Z,水痘，未特指的
1E91.0,带状疱疹，无并发症
1E91.1,眼带状疱疹
1E91.2,播散性带状疱疹
1E91.3,带状疱疹合并中枢神经系统受累
1E91.40,急性带状疱疹性三叉神经病变
1E91.41,急性疱疹性膝状神经节炎
1E91.4Y,其他特指的带状疱疹所致急性脑神经病变
1E91.5,疱疹后多神经病变
1E91.Y,带状疱疹合并其他特指的并发症
1E91.Z,带状疱疹，未特指的
1F00.00,皮肤单纯疱疹病毒感染
1F00.01,单纯疱疹性唇炎
1F00.02,单纯疱疹性龈口炎
1F00.03,播散性皮肤单纯疱疹感染合并皮肤病
1F00.0Y,其他特指的皮肤或黏膜单纯疱疹感染
1F00.10,单纯疱疹性角膜炎
1F00.11,眼睑单纯疱疹病毒感染
1F00.1Y,其他特指的眼部单纯疱疹病毒感染
1F00.1Z,眼部单纯疱疹病毒感染，未特指
1F00.20,单纯疱疹病毒性脑膜炎
1F00.21,单纯疱疹病毒性脑炎
1F00.3,播散性单纯疱疹病毒感染
1F00.Y,其他特指的单纯疱疹病毒感染
1F00.Z,单纯疱疹病毒感染，未特指的
1F01,婴儿玫瑰疹
1F02.0,"风疹,伴神经科并发症"
1F02.1,风疹性关节炎
1F02.2,风疹不伴并发症
1F02.Y,其他特指的风疹
1F03.0,麻疹不伴并发症
1F03.1,麻疹并发脑炎
1F03.2,麻疹并发脑膜炎
1F03.Y,麻疹伴其他并发症
1F04,传染性红斑
1F05.0,肠病毒性水疱性口炎
1F05.1,肠病毒疱疹性咽炎
1F05.2,肠病毒性发疹热[波士顿疹病]
1F05.3,口蹄疫
1F05.Y,其他特指的皮肤或黏膜的微小核糖核酸病毒感染
1F0Y,其他特指的以皮肤或黏膜损害为特征的病毒感染
1F0Z,以皮肤或黏膜损害为特征的病毒感染，未特指的
1F20.00,消化道侵袭性曲霉病
1F20.01,侵袭性大脑曲霉病
1F20.02,播散性曲霉病
1F20.0Y,其他特指部位的侵袭性曲霉病
1F20.10,耳曲霉病
1F20.11,副鼻窦慢性曲霉病
1F20.12,慢性肺曲霉病
1F20.13,扁桃体曲霉病
1F20.14,曲霉性支气管炎
1F20.15,曲霉菌所致阻塞性气管支气管炎
1F20.1Y,其他特指的非侵袭性曲霉病
1F20.Z,曲霉病，未特指的
1F21,胃肠蛙粪真菌病
1F22,芽生菌病
1F23.0,唇或口腔黏膜念珠菌病
1F23.10,外阴阴道念珠菌病
1F23.11,念珠菌龟头包皮炎
1F23.12,念珠菌性间擦疹
1F23.13,指甲或甲周念珠菌病
1F23.14,慢性黏膜皮肤念珠菌病
1F23.15,播散性皮肤念珠菌病
1F23.16,耳念珠菌病
1F23.1Y,其他特指部位皮肤或黏膜的念珠菌病
1F23.1Z,皮肤或黏膜念珠菌病，未特指的
1F23.2,胃肠道念珠菌病
1F23.30,念珠菌脑膜炎
1F23.31,肺念珠菌病
1F23.3Y,其他特指的全身性或侵袭性念珠菌病
1F23.3Z,全身性或侵袭性念珠菌病，未特指的
1F23.Y,其他特指的系统性和侵袭性念珠菌病
1F23.Z,系统性和侵袭性念珠菌病，未特指的
1F24,着色芽生菌病
1F25.00,急性肺球孢子菌病
1F25.01,慢性肺球孢子菌病
1F25.10,播散性球孢子菌病
1F25.11,原发性皮肤球孢子菌病
1F25.12,球孢子菌脑膜炎
1F25.1Y,其他特指的肺外球孢子菌病
1F25.Z,球孢子菌病，未特指的
1F26,耳霉病
1F27.0,肺隐球菌病
1F27.1,大脑隐球菌病
1F27.2,播散性隐球菌病
1F27.Y,其他特指的隐球菌病
1F27.Z,隐球菌病，未特指的
1F28.0,头皮皮肤癣菌病
1F28.1,指甲皮肤癣
1F28.2,足部皮肤真菌病
1F28.3,生殖股皮肤真菌病病
1F28.4,脓癣
1F28.5,播散性皮肤真菌病病
1F28.Y,其他特指的皮肤真菌病
1F28.Z,皮肤真菌病，未特指的
1F29,真菌性足菌肿
1F2A.0,肺组织胞浆菌病
1F2A.1,非洲组织胞浆菌病
1F2A.Y,其他特指的组织胞浆菌病
1F2A.Z,组织胞浆菌病，未特指的
1F2B,洛博芽生菌病
1F2C,毛霉菌病
1F2D.0,花斑癣
1F2D.1,马拉色菌毛囊炎
1F2D.2,白癣
1F2D.3,黑癣
1F2D.4,掌黑癣
1F2D.5,非皮肤真菌所致甲真菌病
1F2D.Y,其他特指的非皮肤真菌感染导致的浅层皮肤真菌病
1F2E.0,肺副球孢子菌病
1F2E.1,播散性副球孢子菌病
1F2E.Y,其他特指的副球孢子菌病
1F2E.Z,副球孢子菌病，未特指的
1F2F,暗色丝孢霉病
1F2G.0,肺孢子菌病
1F2G.Z,肺孢子菌病，未特指的
1F2H,霉样真菌病
1F2J.0,淋巴皮肤孢子丝菌病
1F2J.1,固定型皮肤孢子丝菌病
1F2J.2,肺孢子丝菌病
1F2J.3,播散性孢子丝菌病
1F2J.Y,其他特指的孢子丝菌病
1F2J.Z,孢子丝菌病，未特指的
1F2K,青霉病
1F2Z,真菌病，未特指的
1F40.0,恶性疟，脑型
1F40.Y,其他严重及伴合并症的恶性疟
1F40.Z,"恶性疟,未特指的"
1F41.0,间日疟伴脾破裂
1F41.Y,伴其他并发症的间日疟
1F41.Z,不伴其他并发症的间日疟
1F42.0,三日疟合并肾病
1F42.Y,三日疟伴其他并发症
1F42.Z,三日疟不伴并发症
1F43,卵形疟
1F44,其他经寄生虫学证实的疟疾
1F45,疟疾，无寄生虫学证实（即临床诊断病例）
1F4Z,疟疾，未特指的
1F50,棘阿米巴病
1F51.00,冈比亚锥虫病脑膜炎
1F51.0Y,其他特指的冈比亚锥虫病
1F51.0Z,冈比亚锥虫病，未特指的
1F51.10,罗德西亚锥虫病脑膜炎
1F51.1Y,其他特指的罗德西亚锥虫病
1F51.1Z,罗德西亚锥虫病，未特指的
1F51.Y,其他特指的非洲锥虫病
1F51.Z,非洲锥虫病，未特指的
1F52,巴贝虫病
1F53.0,"急性美洲锥虫病,累及心脏"
1F53.1,"急性美洲锥虫病,未累及心脏"
1F53.2,"慢性美洲锥虫病,累及心脏"
1F53.3,美洲锥虫病，累及消化系统
1F53.4,美洲锥虫病脑膜炎
